Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
73.0,13.41111,,,
73.08333,13.51667,,,
73.16667,13.16111,,,
73.25,12.7,,,
73.33333,13.04167,,,
73.41667,13.53889,,,
73.5,12.78889,,,
73.58333,13.275,,,
73.66667,13.43056,,,
73.75,12.51111,,,
73.83333,13.52222,,,
73.91667,13.49167,,,
74.0,12.71111,,,
74.08333,13.04167,,,
74.16667,13.16389,,,
74.25,13.79167,,,
74.33333,13.87778,,,
74.41667,13.23333,,,
74.5,12.88611,,,
74.58333,13.56111,,,
74.66667,13.00556,,,
74.75,13.24444,,,
74.83333,13.25278,,,
74.91667,12.925,,,
75.0,13.02778,,,
75.08333,13.49167,,,
75.16667,13.44722,,,
75.25,13.76111,,,
75.33333,13.56389,,,
75.41667,13.39167,,,
75.5,13.025,,,
75.58333,13.225,,,
75.66667,13.36389,,,
75.75,13.08333,,,
75.83333,13.36944,,,
75.91667,13.13333,,,
76.0,13.13611,,,
76.08333,13.50556,,,
76.16667,13.59444,,,
76.25,13.49444,,,
76.33333,13.46389,,,
76.41667,13.15833,,,
76.5,12.50556,,,
