Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
49.5,13.48889,,,
49.58333,13.55278,,,
49.66667,13.48333,,,
49.75,13.17222,,,
49.83333,12.8,,,
49.91667,13.14722,,,
50.0,13.07778,,,
50.08333,12.77778,,,
50.16667,13.41111,,,
50.25,12.77222,,,
50.33333,13.30278,,,
50.41667,13.06667,,,
50.5,13.07778,,,
50.58333,12.875,,,
50.66667,13.17778,,,
50.75,12.79167,,,
50.83333,13.35556,,,
50.91667,13.19167,,,
51.0,13.03056,,,
51.08333,13.00556,,,
51.16667,13.07222,,,
51.25,13.04167,,,
51.33333,13.24722,,,
51.41667,13.26111,,,
51.5,13.325,,,
51.58333,12.71389,,,
51.66667,12.61944,,,
51.75,13.66111,,,
51.83333,12.46944,,,
51.91667,13.09722,,,
52.0,12.85,,,
52.08333,13.03056,,,
52.16667,12.75,,,
52.25,12.73056,,,
52.33333,13.15833,,,
52.41667,12.96389,,,
52.5,13.45833,,,
52.58333,13.3,,,
52.66667,13.30278,,,
52.75,13.37778,,,
52.83333,13.30833,,,
52.91667,13.01667,,,
53.0,12.79722,,,
53.08333,12.86111,,,
53.16667,13.075,,,
53.25,13.20833,,,
53.33333,13.36667,,,
53.41667,13.07778,,,
53.5,13.39444,,,
53.58333,12.91944,,,
53.66667,13.6,,,
53.75,13.38611,,,
53.83333,13.49444,,,
53.91667,13.04167,,,
54.0,12.65,,,
54.08333,13.25,,,
54.16667,12.95833,,,
54.25,12.48056,,,
54.33333,13.225,,,
54.41667,13.20278,,,
54.5,13.175,,,
54.58333,12.99722,,,
54.66667,13.09722,,,
54.75,13.40278,,,
54.83333,13.21944,,,
54.91667,13.34444,,,
55.0,13.23333,,,
55.08333,12.60833,,,
55.16667,13.11667,,,
55.25,13.38333,,,
55.33333,13.08889,,,
55.41667,12.88611,,,
55.5,12.69444,,,
55.58333,13.21111,,,
55.66667,13.06389,,,
55.75,12.94167,,,
55.83333,13.09167,,,
55.91667,12.74444,,,
56.0,13.08889,,,
56.08333,13.06944,,,
56.16667,13.08889,,,
56.25,13.49722,,,
56.33333,12.31944,,,
56.41667,12.98611,,,
56.5,13.11944,,,
56.58333,12.675,,,
56.66667,13.39167,,,
56.75,13.31389,,,
56.83333,13.07222,,,
56.91667,12.64167,,,
57.0,13.30833,,,
57.08333,12.88611,,,
57.16667,13.04444,,,
57.25,12.60833,,,
57.33333,13.51667,,,
57.41667,13.16667,,,
57.5,12.60278,,,
57.58333,12.59722,,,
57.66667,12.81944,,,
57.75,12.33889,,,
57.83333,13.07222,,,
57.91667,13.33333,,,
58.0,13.7,,,
58.08333,13.64444,,,
58.16667,13.48056,,,
58.25,13.6,,,
58.33333,13.01667,,,
58.41667,12.91389,,,
58.5,12.90278,,,
58.58333,13.26944,,,
58.66667,12.81667,,,
58.75,13.53056,,,
58.83333,12.93611,,,
58.91667,12.925,,,
59.0,12.58889,,,
59.08333,13.15278,,,
59.16667,13.75833,,,
59.25,13.17222,,,
59.33333,12.81944,,,
59.41667,13.04722,,,
59.5,12.96944,,,
59.58333,13.05,,,
59.66667,13.1,,,
59.75,12.38056,,,
59.83333,13.39722,,,
59.91667,13.65278,,,
60.0,12.97222,,,
60.08333,13.21389,,,
60.16667,12.85833,,,
60.25,13.29444,,,
60.33333,12.72222,,,
60.41667,13.175,,,
60.5,12.67778,,,
60.58333,13.29167,,,
60.66667,12.99167,,,
60.75,13.53056,,,
60.83333,13.09444,,,
60.91667,13.40556,,,
61.0,13.33889,,,
61.08333,13.53611,,,
61.16667,13.11111,,,
61.25,12.88889,,,
61.33333,12.82778,,,
61.41667,13.575,,,
61.5,13.325,,,
61.58333,12.95833,,,
61.66667,13.23333,,,
61.75,13.36389,,,
61.83333,13.00556,,,
61.91667,12.69167,,,
62.0,12.72778,,,
62.08333,12.86667,,,
62.16667,12.59167,,,
62.25,12.98333,,,
62.33333,13.04444,,,
62.41667,13.65556,,,
62.5,13.56111,,,
62.58333,12.75833,,,
62.66667,13.04167,,,
62.75,12.85556,,,
62.83333,13.44167,,,
62.91667,13.675,,,
63.0,13.48611,,,
63.08333,13.375,,,
63.16667,13.63333,,,
63.25,13.43611,,,
63.33333,12.81389,,,
63.41667,13.47778,,,
63.5,13.44444,,,
63.58333,12.95278,,,
63.66667,13.27222,,,
63.75,13.08056,,,
63.83333,14.11389,,,
63.91667,12.95556,,,
64.0,12.84722,,,
64.08333,12.76667,,,
64.16667,13.18056,,,
64.25,13.22778,,,
64.33333,12.99722,,,
64.41667,12.69444,,,
64.5,13.09722,,,
64.58333,13.39722,,,
64.66667,13.31389,,,
64.75,13.34722,,,
64.83333,13.41667,,,
64.91667,13.325,,,
65.0,13.725,,,
65.08333,13.54722,,,
65.16667,12.46389,,,
65.25,13.625,,,
65.33333,12.91111,,,
65.41667,12.925,,,
65.5,12.575,,,
65.58333,12.94167,,,
65.66667,13.64444,,,
65.75,12.90833,,,
65.83333,13.00278,,,
65.91667,13.12778,,,
66.0,13.20556,,,
66.08333,12.80833,,,
66.16667,13.09167,,,
66.25,13.30833,,,
66.33333,12.89167,,,
66.41667,12.625,,,
66.5,13.1,,,
66.58333,12.73889,,,
66.66667,13.20278,,,
66.75,12.88611,,,
66.83333,13.475,,,
66.91667,13.38333,,,
67.0,13.66667,,,
67.08333,12.99167,,,
67.16667,13.375,,,
67.25,12.89722,,,
67.33333,13.60278,,,
67.41667,13.04444,,,
67.5,12.84722,,,
67.58333,13.34167,,,
67.66667,12.98889,,,
67.75,13.02222,,,
67.83333,12.91389,,,
67.91667,13.43056,,,
68.0,12.51667,,,
68.08333,14.28056,,,
68.16667,14.0,,,
68.25,13.33889,,,
68.33333,13.33056,,,
68.41667,13.57222,,,
68.5,13.20556,,,
68.58333,13.00278,,,
68.66667,13.76944,,,
68.75,13.21111,,,
68.83333,13.52778,,,
68.91667,13.20556,,,
69.0,13.00278,,,
69.08333,12.875,,,
69.16667,13.20833,,,
69.25,12.65,,,
69.33333,13.68889,,,
69.41667,13.03056,,,
69.5,13.90278,,,
69.58333,13.06944,,,
69.66667,13.12222,,,
69.75,13.53056,,,
69.83333,13.37778,,,
69.91667,13.14722,,,
70.0,13.38333,,,
70.08333,13.57222,,,
70.16667,13.74444,,,
70.25,13.05556,,,
70.33333,13.78611,,,
70.41667,12.76667,,,
70.5,13.57778,,,
70.58333,12.83889,,,
70.66667,13.74444,,,
70.75,13.95,,,
70.83333,13.28611,,,
70.91667,13.225,,,
71.0,13.12222,,,
71.08333,12.83333,,,
71.16667,12.51944,,,
71.25,12.96111,,,
71.33333,13.13889,,,
71.41667,13.40278,,,
71.5,13.08056,,,
71.58333,13.19722,,,
71.66667,12.81944,,,
71.75,12.44444,,,
71.83333,12.94722,,,
71.91667,13.16111,,,
72.0,13.14444,,,
72.08333,13.425,,,
72.16667,13.16389,,,
72.25,12.87222,,,
72.33333,13.19722,,,
72.41667,13.19722,,,
72.5,12.85278,,,
72.58333,13.11389,,,
72.66667,13.44722,,,
72.75,13.6,,,
72.83333,12.65278,,,
72.91667,13.55833,,,
73.0,12.58611,,,
73.08333,13.48333,,,
73.16667,12.63611,,,
73.25,13.13333,,,
73.33333,13.3,,,
73.41667,13.47222,,,
73.5,13.06111,,,
73.58333,13.27778,,,
73.66667,13.19167,,,
73.75,13.03611,,,
73.83333,13.13889,,,
73.91667,12.99722,,,
74.0,12.62778,,,
74.08333,12.87222,,,
74.16667,12.96389,,,
74.25,13.37222,,,
74.33333,13.80278,,,
74.41667,13.45556,,,
74.5,12.71111,,,
74.58333,13.45556,,,
74.66667,13.70833,,,
74.75,12.80278,,,
74.83333,12.58056,,,
74.91667,13.43333,,,
75.0,13.36944,,,
75.08333,12.19167,,,
75.16667,13.35833,,,
75.25,13.45,,,
75.33333,12.88056,,,
75.41667,13.37778,,,
75.5,13.11111,,,
75.58333,13.41944,,,
75.66667,13.15556,,,
75.75,13.65556,,,
75.83333,12.98333,,,
75.91667,12.54444,,,
76.0,12.80833,,,
76.08333,13.40833,,,
76.16667,12.87222,,,
76.25,13.46111,,,
76.33333,12.96667,,,
76.41667,12.70833,,,
76.5,12.94722,,,
